Donal N Encounters:
Donal N (Donal), Jon S (Jon), 344567, "the gloom of the armory. "STOP THIS! NOW!"  Jon pulled himself to his feet. Donal"
Donal N (Noye), Grenn (Grenn), 344962, "rapers put in.  "He broke my wrist;" Grenn said again; holding it out to Noye"
Donal N (Noye), Jon S (Jon), 345901, "you to go."  Jon stared sullenly at the smoke rising from the brazier; until Noye"
Robert B (Robert), Donal N (Donal Noye), 347695, "and fought in a hundred battles. They said it was Donal Noye who'd forged King Robert"
Rhaegar T (Rhaegar), Donal N (Donal Noye), 347751, "was Donal Noye who'd forged King Robert's warhammer; the one that crushed the life from Rhaegar"
Jon S (Snow), Donal N (Noye), 348135, ""Yes; life;" Noye said. "A long life or a short one; it's up to you; Snow"
Donal N (Donal), Jon S (Jon), 349505, "Jon said warily. There was a trap here. He felt it closing around him.  Donal"
Donal N (Donal), Rodrik C (Rodrik Cassel), 349505, "Jon said warily. There was a trap here. He felt it closing around him.  Donal"
Jon S (Jon), Donal N (Donal Noye), 349535, "a trap here. He felt it closing around him.  Donal Noye leaned forward; into Jon"
Donal N (Donal), Jon S (Jon), 1097599, "he broke off to stare at Jon; a faint half smile on his lips. One-armed Donal"
Jon S (Snow), Donal N (Donal Noye), 1097665, "One-armed Donal Noye stood in the door of the armory. "The gods be with you; Snow"
Donal N (Donal), Grenn (Grenn), 1292447, "Mole's Town."  "We knew even before that; though;" Grenn said. "Rudge has been helping Donal"
Jeor M (Old Bear), Donal N (Donal Noye), 1292497, ""Rudge has been helping Donal Noye in the forge. He was there when the Old Bear"
